#Coverage	Number of genomic locations
0.0	2.361246959E9
1.0	3.99814644E8
2.0	2.64752294E8
3.0	7.8955015E7
4.0	4.6954517E7
5.0	2.016063E7
6.0	1.2272332E7
7.0	7265165.0
8.0	5146917.0
9.0	3866923.0
10.0	3141659.0
11.0	2671177.0
12.0	2356265.0
13.0	2105103.0
14.0	1927797.0
15.0	1773133.0
16.0	1654733.0
17.0	1553591.0
18.0	1462769.0
19.0	1381898.0
20.0	1316635.0
21.0	1255145.0
22.0	1204030.0
23.0	1154593.0
24.0	1111241.0
25.0	1070355.0
26.0	1031059.0
27.0	996592.0
28.0	965608.0
29.0	938114.0
30.0	910570.0
31.0	885516.0
32.0	866328.0
33.0	843921.0
34.0	824778.0
35.0	806875.0
36.0	788311.0
37.0	771317.0
38.0	757952.0
39.0	743134.0
40.0	729675.0
41.0	717505.0
42.0	705319.0
43.0	694749.0
44.0	682371.0
45.0	671592.0
46.0	662399.0
47.0	652107.0
48.0	643289.0
49.0	633529.0
50.0	625276.0
51.0	618106.0
52.0	611368.0
53.0	603122.0
54.0	595345.0
55.0	588758.0
56.0	580446.0
57.0	570822.0
58.0	566307.0
59.0	559109.0
60.0	551730.0
61.0	546100.0
62.0	540471.0
63.0	532183.0
64.0	527150.0
65.0	522022.0
66.0	514799.0
67.0	507102.0
68.0	500809.0
69.0	496325.0
70.0	490560.0
71.0	485433.0
72.0	481862.0
73.0	474757.0
74.0	470022.0
75.0	463184.0
76.0	456941.0
77.0	450789.0
78.0	447127.0
79.0	442951.0
80.0	437805.0
81.0	432449.0
82.0	429433.0
83.0	425368.0
84.0	420132.0
85.0	416097.0
86.0	409751.0
87.0	406883.0
88.0	400292.0
89.0	395955.0
90.0	391988.0
91.0	387294.0
92.0	383341.0
93.0	379001.0
94.0	377030.0
95.0	372460.0
96.0	369225.0
97.0	364675.0
98.0	361918.0
99.0	358110.0
100.0	352918.0
101.0	350363.0
102.0	347769.0
103.0	343129.0
104.0	340726.0
105.0	338407.0
106.0	335067.0
107.0	331301.0
108.0	327410.0
109.0	324549.0
110.0	320843.0
111.0	317085.0
112.0	314778.0
113.0	311401.0
114.0	308673.0
115.0	305594.0
116.0	302676.0
117.0	299152.0
118.0	296099.0
119.0	293743.0
120.0	290556.0
121.0	287182.0
122.0	284118.0
123.0	281507.0
124.0	279276.0
125.0	276094.0
126.0	273346.0
127.0	270862.0
128.0	268121.0
129.0	264483.0
130.0	261814.0
131.0	259152.0
132.0	255824.0
133.0	254165.0
134.0	251302.0
135.0	249083.0
136.0	245495.0
137.0	242920.0
138.0	240288.0
139.0	238943.0
140.0	235552.0
141.0	233837.0
142.0	230662.0
143.0	229253.0
144.0	227033.0
145.0	223426.0
146.0	221182.0
147.0	219126.0
148.0	217104.0
149.0	214750.0
150.0	211691.0
151.0	209443.0
152.0	207282.0
153.0	205143.0
154.0	201970.0
155.0	199833.0
156.0	197117.0
157.0	195069.0
158.0	192137.0
159.0	190581.0
160.0	187984.0
161.0	185845.0
162.0	183679.0
163.0	181656.0
164.0	179654.0
165.0	178119.0
166.0	175993.0
167.0	174301.0
168.0	172765.0
169.0	169540.0
170.0	167116.0
171.0	165874.0
172.0	163580.0
173.0	161570.0
174.0	161138.0
175.0	157996.0
176.0	156639.0
177.0	154121.0
178.0	152326.0
179.0	150789.0
180.0	149105.0
181.0	147036.0
182.0	145498.0
183.0	142568.0
184.0	141158.0
185.0	139565.0
186.0	137669.0
187.0	135819.0
188.0	133381.0
189.0	131062.0
190.0	130408.0
191.0	128383.0
192.0	127610.0
193.0	125358.0
194.0	124102.0
195.0	121750.0
196.0	120570.0
197.0	118776.0
198.0	116588.0
199.0	114851.0
200.0	113263.0
201.0	112245.0
202.0	110157.0
203.0	109058.0
204.0	107672.0
205.0	105733.0
206.0	104320.0
207.0	102432.0
208.0	101003.0
209.0	100011.0
210.0	98294.0
211.0	97451.0
212.0	95683.0
213.0	93628.0
214.0	92463.0
215.0	91198.0
216.0	89367.0
217.0	88589.0
218.0	87342.0
219.0	86400.0
220.0	84297.0
221.0	83318.0
222.0	82013.0
223.0	80915.0
224.0	79433.0
225.0	78457.0
226.0	77406.0
227.0	76219.0
228.0	74758.0
229.0	73632.0
230.0	73413.0
231.0	71878.0
232.0	70733.0
233.0	69626.0
234.0	68206.0
235.0	67518.0
236.0	66238.0
237.0	65306.0
238.0	64295.0
239.0	63178.0
240.0	62350.0
241.0	61255.0
242.0	59862.0
243.0	59345.0
244.0	58149.0
245.0	56887.0
246.0	55841.0
247.0	54730.0
248.0	54383.0
249.0	53516.0
250.0	52603.0
251.0	51833.0
252.0	51392.0
253.0	50540.0
254.0	49824.0
255.0	48705.0
256.0	48227.0
257.0	47090.0
258.0	46265.0
259.0	45690.0
260.0	44387.0
261.0	43884.0
262.0	42943.0
263.0	41893.0
264.0	41219.0
265.0	40706.0
266.0	39986.0
267.0	38881.0
268.0	38015.0
269.0	37689.0
270.0	37250.0
271.0	36427.0
272.0	36176.0
273.0	35554.0
274.0	34666.0
275.0	34174.0
276.0	33718.0
277.0	33026.0
278.0	32155.0
279.0	31744.0
280.0	30995.0
281.0	30755.0
282.0	30275.0
283.0	29750.0
284.0	29151.0
285.0	29012.0
286.0	28325.0
287.0	27443.0
288.0	27525.0
289.0	26236.0
290.0	25909.0
291.0	25344.0
292.0	24959.0
293.0	24400.0
294.0	23999.0
295.0	23578.0
296.0	22956.0
297.0	22479.0
298.0	22385.0
299.0	21895.0
300.0	21155.0
301.0	20895.0
302.0	20636.0
303.0	20119.0
304.0	19800.0
305.0	19333.0
306.0	18952.0
307.0	18469.0
308.0	18224.0
309.0	18017.0
310.0	17725.0
311.0	17042.0
312.0	17113.0
313.0	16673.0
314.0	16508.0
315.0	16093.0
316.0	15803.0
317.0	15568.0
318.0	15329.0
319.0	14857.0
320.0	14509.0
321.0	14389.0
322.0	14286.0
323.0	13916.0
324.0	13898.0
325.0	13460.0
326.0	13203.0
327.0	12694.0
328.0	12459.0
329.0	12148.0
330.0	12002.0
331.0	11675.0
332.0	11670.0
333.0	11221.0
334.0	11032.0
335.0	11079.0
336.0	10762.0
337.0	10635.0
338.0	10326.0
339.0	10308.0
340.0	9795.0
341.0	9672.0
342.0	9675.0
343.0	9260.0
344.0	9007.0
345.0	8863.0
346.0	8843.0
347.0	8491.0
348.0	8380.0
349.0	8062.0
350.0	7958.0
351.0	7818.0
352.0	7691.0
353.0	7753.0
354.0	7485.0
355.0	7231.0
356.0	7099.0
357.0	7086.0
358.0	7000.0
359.0	6809.0
360.0	6558.0
361.0	6534.0
362.0	6456.0
363.0	6331.0
364.0	6207.0
365.0	5834.0
366.0	5769.0
367.0	5872.0
368.0	5696.0
369.0	5447.0
370.0	5363.0
371.0	5309.0
372.0	5298.0
373.0	5041.0
374.0	5182.0
375.0	4936.0
376.0	4871.0
377.0	4722.0
378.0	4696.0
379.0	4688.0
380.0	4514.0
381.0	4471.0
382.0	4357.0
383.0	4328.0
384.0	4270.0
385.0	4184.0
386.0	4164.0
387.0	3900.0
388.0	3811.0
389.0	3945.0
390.0	3695.0
391.0	3673.0
392.0	3593.0
393.0	3547.0
394.0	3446.0
395.0	3449.0
396.0	3317.0
397.0	3215.0
398.0	3214.0
399.0	3203.0
400.0	3117.0
401.0	3065.0
402.0	3031.0
403.0	2917.0
404.0	2897.0
405.0	2849.0
406.0	2772.0
407.0	2729.0
408.0	2596.0
409.0	2453.0
410.0	2614.0
411.0	2599.0
412.0	2482.0
413.0	2461.0
414.0	2358.0
415.0	2300.0
416.0	2214.0
417.0	2227.0
418.0	2179.0
419.0	2082.0
420.0	2028.0
421.0	2042.0
422.0	1947.0
423.0	1957.0
424.0	1802.0
425.0	1879.0
426.0	1786.0
427.0	1789.0
428.0	1669.0
429.0	1719.0
430.0	1684.0
431.0	1764.0
432.0	1638.0
433.0	1653.0
434.0	1686.0
435.0	1648.0
436.0	1590.0
437.0	1542.0
438.0	1566.0
439.0	1521.0
440.0	1448.0
441.0	1416.0
442.0	1417.0
443.0	1405.0
444.0	1426.0
445.0	1420.0
446.0	1314.0
447.0	1264.0
448.0	1328.0
449.0	1279.0
450.0	1260.0
451.0	1188.0
452.0	1156.0
453.0	1216.0
454.0	1127.0
455.0	1094.0
456.0	1072.0
457.0	1129.0
458.0	1025.0
459.0	1038.0
460.0	1031.0
461.0	1043.0
462.0	1021.0
463.0	985.0
464.0	943.0
465.0	937.0
466.0	939.0
467.0	951.0
468.0	917.0
469.0	949.0
470.0	891.0
471.0	867.0
472.0	860.0
473.0	862.0
474.0	879.0
475.0	844.0
476.0	817.0
477.0	795.0
478.0	797.0
479.0	822.0
480.0	816.0
481.0	792.0
482.0	770.0
483.0	785.0
484.0	728.0
485.0	749.0
486.0	765.0
487.0	762.0
488.0	709.0
489.0	744.0
