#Duplication rate	Coverage
1.0	3.6598273E7
2.0	1.1087172E7
3.0	4708862.0
4.0	2210139.0
5.0	1026431.0
6.0	478581.0
7.0	223339.0
8.0	104929.0
9.0	49983.0
10.0	24740.0
11.0	12091.0
12.0	6315.0
13.0	3376.0
14.0	1852.0
15.0	1179.0
16.0	717.0
17.0	492.0
18.0	333.0
19.0	259.0
20.0	212.0
21.0	159.0
22.0	128.0
23.0	106.0
24.0	87.0
25.0	65.0
26.0	70.0
27.0	37.0
28.0	48.0
29.0	44.0
30.0	29.0
31.0	33.0
32.0	24.0
33.0	27.0
34.0	20.0
35.0	12.0
36.0	23.0
37.0	11.0
38.0	17.0
39.0	10.0
40.0	12.0
41.0	13.0
42.0	6.0
43.0	4.0
44.0	6.0
45.0	7.0
46.0	6.0
47.0	6.0
48.0	6.0
49.0	9.0
50.0	143.0
