#Coverage (X)	Coverage
1.0	28.429929253134162
2.0	16.311433029074877
3.0	8.286715267236133
4.0	5.893566178009564
5.0	4.470361336700577
6.0	3.8592868745814286
7.0	3.4873089812394227
8.0	3.26709975193549
9.0	3.1110952254228295
10.0	2.993887683184255
11.0	2.898663100242814
12.0	2.8176989612997403
13.0	2.746279895155226
14.0	2.6824736210739957
15.0	2.624041542570012
16.0	2.570297374146662
17.0	2.520141943590886
18.0	2.4730521559861245
19.0	2.4287152091804103
20.0	2.386829485517339
21.0	2.3469219020523298
22.0	2.3088780980761356
23.0	2.2723836043710577
24.0	2.237387560277128
25.0	2.203705527703761
26.0	2.171262761485565
27.0	2.1400110682677393
28.0	2.1098040796789803
29.0	2.080536224992997
30.0	2.0521017213114874
31.0	2.0245020841487644
32.0	1.997661840892576
33.0	1.9714031914050025
34.0	1.945823704496803
35.0	1.920824447394338
36.0	1.8963678353429145
37.0	1.8724739034416018
38.0	1.8490950645413164
39.0	1.826121322614
40.0	1.8035967185052755
41.0	1.7814800605364098
42.0	1.7597322787487002
43.0	1.73835385810672
44.0	1.7172958171882158
45.0	1.6966129569903643
46.0	1.676256811365775
47.0	1.6561793082007767
48.0	1.6364137584997422
49.0	1.6169154849010425
50.0	1.5977130396941277
51.0	1.5787607452779326
