#Insert size (bp)	insert size
1.0	13.0
2.0	29.0
3.0	34.0
4.0	23.0
5.0	30.0
6.0	26.0
7.0	33.0
8.0	26.0
9.0	23.0
10.0	47.0
11.0	31.0
12.0	39.0
13.0	58.0
14.0	60.0
15.0	61.0
16.0	43.0
17.0	61.0
18.0	56.0
19.0	4419.0
20.0	1886.0
21.0	699.0
22.0	327.0
23.0	214.0
24.0	149.0
25.0	180.0
26.0	152.0
27.0	147.0
28.0	150.0
29.0	123.0
30.0	161.0
31.0	156.0
32.0	179.0
33.0	195.0
34.0	174.0
35.0	179.0
36.0	240.0
37.0	224.0
38.0	209.0
39.0	226.0
40.0	257.0
41.0	237.0
42.0	249.0
43.0	281.0
44.0	318.0
45.0	292.0
46.0	322.0
47.0	354.0
48.0	388.0
49.0	432.0
50.0	402.0
51.0	432.0
52.0	511.0
53.0	534.0
54.0	694.0
55.0	710.0
56.0	778.0
57.0	750.0
58.0	783.0
59.0	929.0
60.0	1002.0
61.0	1088.0
62.0	1222.0
63.0	1302.0
64.0	1486.0
65.0	1662.0
66.0	1869.0
67.0	2103.0
68.0	2362.0
69.0	2814.0
70.0	3133.0
71.0	3565.0
72.0	4060.0
73.0	4596.0
74.0	5333.0
75.0	6367.0
76.0	7272.0
77.0	8125.0
78.0	9788.0
79.0	11262.0
80.0	12971.0
81.0	15077.0
82.0	17428.0
83.0	20204.0
84.0	23155.0
85.0	26336.0
86.0	30681.0
87.0	35027.0
88.0	39661.0
89.0	45563.0
90.0	51240.0
91.0	58158.0
92.0	65378.0
93.0	73505.0
94.0	82457.0
95.0	92375.0
96.0	101739.0
97.0	112946.0
98.0	123941.0
99.0	136003.0
100.0	148023.0
101.0	161711.0
102.0	175417.0
103.0	190168.0
104.0	203614.0
105.0	218982.0
106.0	232475.0
107.0	247869.0
108.0	260938.0
109.0	275712.0
110.0	289965.0
111.0	303938.0
112.0	315967.0
113.0	329291.0
114.0	341751.0
115.0	353909.0
116.0	365045.0
117.0	375968.0
118.0	386058.0
119.0	393792.0
120.0	401911.0
121.0	410040.0
122.0	417435.0
123.0	423770.0
124.0	430196.0
125.0	436881.0
126.0	440344.0
127.0	443405.0
128.0	448175.0
129.0	450898.0
130.0	452790.0
131.0	455008.0
132.0	455577.0
133.0	455817.0
134.0	456251.0
135.0	457371.0
136.0	456821.0
137.0	456072.0
138.0	454554.0
139.0	452736.0
140.0	452265.0
141.0	449564.0
142.0	447977.0
143.0	445732.0
144.0	442040.0
145.0	440657.0
146.0	438274.0
147.0	435678.0
148.0	431012.0
149.0	426960.0
150.0	424759.0
151.0	419961.0
152.0	416173.0
153.0	412824.0
154.0	409550.0
155.0	405368.0
156.0	400869.0
157.0	396889.0
158.0	392766.0
159.0	388033.0
160.0	383928.0
161.0	379997.0
162.0	376163.0
163.0	370639.0
164.0	365981.0
165.0	361902.0
166.0	357559.0
