#GC Content (%)	Sample
1.0	2.1252695505936889E-7
2.0	1.0626347752968444E-7
3.0	3.1879043258905333E-7
4.0	1.0626347752968444E-7
5.0	3.1879043258905333E-7
6.0	3.1879043258905333E-7
7.0	1.0626347752968444E-7
8.0	1.0626347752968444E-7
9.0	2.1252695505936889E-7
10.0	2.1252695505936889E-7
11.0	2.1252695505936889E-7
12.0	1.0626347752968444E-7
13.0	5.313173876484222E-7
14.0	6.375808651781067E-7
15.0	1.2751617303562135E-6
16.0	1.168898252826529E-6
17.0	3.612958236009271E-6
18.0	7.969760814726335E-6
19.0	2.3803018966649315E-5
20.0	5.60008526581437E-5
21.0	1.3155418518174934E-4
22.0	2.477001661216944E-4
23.0	4.674530376530818E-4
24.0	7.614840799777188E-4
25.0	0.0013445517811830972
26.0	0.0016230683557884001
27.0	0.002535340310380741
28.0	0.0034279535216300895
29.0	0.004565397785107833
30.0	0.00586255605531269
31.0	0.007352263746801337
32.0	0.009162887140429628
33.0	0.011205377442027693
34.0	0.013573777829209302
35.0	0.016301880087828888
36.0	0.019338996539104803
37.0	0.022756961293847102
38.0	0.02655588061553332
39.0	0.030356500152860014
40.0	0.03375023683472554
41.0	0.03650458617229496
42.0	0.037799725436426755
43.0	0.038602546009163526
44.0	0.03862719913595041
45.0	0.03761727104550829
46.0	0.0360511599136758
47.0	0.03397912836532448
48.0	0.0320808376027342
49.0	0.030162888096800927
50.0	0.02875160285172919
51.0	0.030136003436985918
52.0	0.023806313134452733
53.0	0.025903741653933648
54.0	0.02557963804746811
55.0	0.025822662620578495
56.0	0.02611711871681325
57.0	0.02621583748743833
58.0	0.025835945555269708
59.0	0.02526509815398024
60.0	0.02451955359563198
61.0	0.023443954676076507
62.0	0.02222118084014243
63.0	0.020596837322623678
64.0	0.018639570330004417
65.0	0.016400386331498908
66.0	0.014211996275252587
67.0	0.012110104689715429
68.0	0.010307663583856921
69.0	0.008415642366440887
70.0	0.006918071177615047
71.0	0.005696997557321442
72.0	0.004516091531534059
73.0	0.0035726843780255206
74.0	0.0028086499745870893
75.0	0.0021730881154820463
76.0	0.001721043282070769
77.0	0.001365804476689034
78.0	0.0010744300213026393
79.0	8.205665734842232E-4
80.0	6.298236313184396E-4
81.0	4.815860801645299E-4
82.0	3.5236969148843357E-4
83.0	2.484440104644022E-4
84.0	1.6959651013737635E-4
85.0	1.0594468709709537E-4
86.0	7.71472846865509E-5
87.0	4.803109184341737E-5
88.0	2.5609498084653947E-5
89.0	1.105140166308718E-5
90.0	8.501078202374755E-6
91.0	4.038012146128009E-6
92.0	2.2315330281233734E-6
93.0	3.400431280949902E-6
94.0	3.7192217135389554E-6
95.0	4.144275623657693E-6
96.0	2.86911389330148E-6
97.0	2.550323460712427E-6
98.0	1.700215640474951E-6
99.0	2.0190060730640043E-6
100.0	2.444059983182742E-6
