#Mapping quality	mapping quality
0.0	9.1228028E7
1.0	369775.0
2.0	268277.0
3.0	372055.0
4.0	272569.0
5.0	268501.0
6.0	330493.0
7.0	333954.0
8.0	315871.0
9.0	433661.0
10.0	327303.0
11.0	236456.0
12.0	318978.0
13.0	529498.0
14.0	225525.0
15.0	362554.0
16.0	305630.0
17.0	237552.0
18.0	311954.0
19.0	294932.0
20.0	556137.0
21.0	376730.0
22.0	442572.0
23.0	430788.0
24.0	599462.0
25.0	934477.0
26.0	225461.0
27.0	2076250.0
28.0	225985.0
29.0	211934.0
30.0	528252.0
31.0	297569.0
32.0	253584.0
33.0	401458.0
34.0	280350.0
35.0	245952.0
36.0	321977.0
37.0	296517.0
38.0	353284.0
39.0	379640.0
40.0	3676324.0
41.0	407009.0
42.0	613706.0
43.0	579275.0
44.0	518917.0
45.0	881635.0
46.0	752976.0
47.0	923447.0
48.0	1188768.0
49.0	859117.0
50.0	3483148.0
51.0	704726.0
52.0	936318.0
53.0	1143571.0
54.0	1007499.0
55.0	1711319.0
56.0	1183913.0
57.0	1244228.0
58.0	1012764.0
59.0	2060474.0
60.0	8.06292001E8
