#Duplication rate	Coverage
1.0	3.4252794E7
2.0	1.5044031E7
3.0	8234413.0
4.0	5138802.0
5.0	3336885.0
6.0	2223952.0
7.0	1492151.0
8.0	1010202.0
9.0	688782.0
10.0	471957.0
11.0	327244.0
12.0	228094.0
13.0	160283.0
14.0	114164.0
15.0	81659.0
16.0	59959.0
17.0	43826.0
18.0	32727.0
19.0	24224.0
20.0	18303.0
21.0	14224.0
22.0	10998.0
23.0	8543.0
24.0	6792.0
25.0	5327.0
26.0	4333.0
27.0	3551.0
28.0	2831.0
29.0	2297.0
30.0	1913.0
31.0	1615.0
32.0	1285.0
33.0	1075.0
34.0	926.0
35.0	796.0
36.0	660.0
37.0	600.0
38.0	502.0
39.0	443.0
40.0	377.0
41.0	302.0
42.0	279.0
43.0	257.0
44.0	204.0
45.0	197.0
46.0	163.0
47.0	128.0
48.0	126.0
49.0	101.0
50.0	1587.0
