#Coverage (X)	Coverage
1.0	29.94496240983341
2.0	18.943819296495548
3.0	11.666670822712064
4.0	8.798767752537145
5.0	6.7259631056184475
6.0	5.7010523057516735
7.0	4.955295542491527
8.0	4.51228619094293
9.0	4.183894943585912
10.0	3.9590880682331715
11.0	3.7846148782284246
12.0	3.6499553098019533
13.0	3.5395780692821717
14.0	3.447445832653756
15.0	3.368029761260061
16.0	3.298224232882788
17.0	3.235659559048756
18.0	3.178777184849608
19.0	3.1262505503063522
20.0	3.077581627109012
21.0	3.032196884025069
22.0	2.989430100967283
23.0	2.9487156879980745
24.0	2.910155093644846
25.0	2.873468644898253
26.0	2.838411768060226
27.0	2.8047282502828352
28.0	2.772318734448433
29.0	2.7409839001159924
30.0	2.710780094107264
31.0	2.6816891908711966
32.0	2.6535710962657078
33.0	2.626285140253259
34.0	2.5997596086970702
35.0	2.5740581835081144
36.0	2.5490103996376945
37.0	2.5246682998469367
38.0	2.5009940872091505
39.0	2.477915259520117
40.0	2.4554370301490422
41.0	2.4334903522643145
42.0	2.4119969647073702
43.0	2.3910561639752785
44.0	2.3705702903264267
45.0	2.350445624356354
46.0	2.33079243488568
47.0	2.3114906325611173
48.0	2.2925595250348607
49.0	2.2740218753317407
50.0	2.2558500404708752
51.0	2.2380273194846723
