#Insert size (bp)	insert size
1.0	11.0
2.0	61.0
3.0	71.0
4.0	77.0
5.0	64.0
6.0	55.0
7.0	60.0
8.0	83.0
9.0	87.0
10.0	85.0
11.0	71.0
12.0	72.0
13.0	77.0
14.0	120.0
15.0	105.0
16.0	117.0
17.0	102.0
18.0	122.0
19.0	117882.0
20.0	2415.0
21.0	1123.0
22.0	483.0
23.0	401.0
24.0	322.0
25.0	436.0
26.0	401.0
27.0	442.0
28.0	400.0
29.0	450.0
30.0	526.0
31.0	505.0
32.0	456.0
33.0	499.0
34.0	546.0
35.0	492.0
36.0	466.0
37.0	588.0
38.0	557.0
39.0	580.0
40.0	643.0
41.0	587.0
42.0	619.0
43.0	613.0
44.0	708.0
45.0	666.0
46.0	768.0
47.0	711.0
48.0	765.0
49.0	917.0
50.0	804.0
51.0	802.0
52.0	834.0
53.0	961.0
54.0	1023.0
55.0	1033.0
56.0	1139.0
57.0	1162.0
58.0	1154.0
59.0	1250.0
60.0	1319.0
61.0	1393.0
62.0	1533.0
63.0	1616.0
64.0	1604.0
65.0	1711.0
66.0	2033.0
67.0	2167.0
68.0	2382.0
69.0	2726.0
70.0	2827.0
71.0	3168.0
72.0	3595.0
73.0	4100.0
74.0	4613.0
75.0	5306.0
76.0	6058.0
77.0	6997.0
78.0	8051.0
79.0	8980.0
80.0	10427.0
81.0	12061.0
82.0	14261.0
83.0	16566.0
84.0	19447.0
85.0	22129.0
86.0	25738.0
87.0	29276.0
88.0	33706.0
89.0	39039.0
90.0	44517.0
91.0	51652.0
92.0	58039.0
93.0	66629.0
94.0	74130.0
95.0	84750.0
96.0	95570.0
97.0	106784.0
98.0	119180.0
99.0	132529.0
100.0	147358.0
101.0	161691.0
102.0	178885.0
103.0	195483.0
104.0	211023.0
105.0	230434.0
106.0	247787.0
107.0	267976.0
108.0	286966.0
109.0	307475.0
110.0	326584.0
111.0	345807.0
112.0	365133.0
113.0	384092.0
114.0	403282.0
115.0	422658.0
116.0	442462.0
117.0	459800.0
118.0	476356.0
119.0	495371.0
120.0	512159.0
121.0	527828.0
122.0	544786.0
123.0	561598.0
124.0	574454.0
125.0	588443.0
126.0	601108.0
127.0	613508.0
128.0	626943.0
129.0	635673.0
130.0	643921.0
131.0	654583.0
132.0	662136.0
133.0	672830.0
134.0	678860.0
135.0	684035.0
136.0	689999.0
137.0	694965.0
138.0	699759.0
139.0	703137.0
140.0	709391.0
141.0	715047.0
142.0	719241.0
143.0	725834.0
144.0	732884.0
145.0	733114.0
146.0	738590.0
147.0	738881.0
148.0	735493.0
149.0	735584.0
150.0	734560.0
151.0	730010.0
152.0	730569.0
153.0	728197.0
154.0	725986.0
155.0	722901.0
156.0	721450.0
157.0	718092.0
158.0	716914.0
159.0	712993.0
160.0	711899.0
161.0	710474.0
162.0	707690.0
163.0	702515.0
164.0	701759.0
165.0	698499.0
166.0	693550.0
167.0	693971.0
168.0	688700.0
169.0	685169.0
170.0	681968.0
171.0	679357.0
172.0	672195.0
173.0	667155.0
174.0	663787.0
175.0	660448.0
176.0	654017.0
177.0	648680.0
178.0	645423.0
179.0	642192.0
180.0	637474.0
181.0	631639.0
182.0	626991.0
183.0	619544.0
184.0	614212.0
185.0	610719.0
186.0	603635.0
187.0	600526.0
188.0	594153.0
189.0	588770.0
190.0	582751.0
191.0	578060.0
192.0	571571.0
193.0	564984.0
194.0	558572.0
195.0	551787.0
196.0	545499.0
197.0	540548.0
198.0	533981.0
199.0	531236.0
200.0	525644.0
201.0	516899.0
202.0	514301.0
203.0	505336.0
204.0	500608.0
205.0	495810.0
206.0	486334.0
207.0	481204.0
208.0	477112.0
209.0	471655.0
210.0	464447.0
211.0	458363.0
212.0	452678.0
213.0	449411.0
214.0	442579.0
215.0	435693.0
216.0	430753.0
217.0	425079.0
218.0	418140.0
219.0	413561.0
220.0	408321.0
221.0	402726.0
222.0	397543.0
223.0	391631.0
224.0	385342.0
225.0	379340.0
226.0	374157.0
227.0	370143.0
228.0	362824.0
229.0	359158.0
230.0	353516.0
231.0	348534.0
232.0	343543.0
233.0	338233.0
234.0	332428.0
235.0	328719.0
236.0	322650.0
237.0	317330.0
238.0	312578.0
239.0	310002.0
240.0	303187.0
241.0	299365.0
242.0	295269.0
243.0	290539.0
244.0	285876.0
245.0	280031.0
246.0	275728.0
247.0	272003.0
248.0	267141.0
249.0	263032.0
250.0	258269.0
251.0	253161.0
252.0	250150.0
253.0	246316.0
254.0	241442.0
255.0	238328.0
256.0	232930.0
257.0	229471.0
258.0	225141.0
259.0	221644.0
260.0	218335.0
261.0	215277.0
262.0	211434.0
263.0	208150.0
264.0	204825.0
265.0	200172.0
266.0	196420.0
267.0	193663.0
268.0	189847.0
269.0	185538.0
270.0	184213.0
271.0	178069.0
272.0	177127.0
273.0	173128.0
274.0	169842.0
275.0	167575.0
276.0	164487.0
277.0	160579.0
278.0	157630.0
279.0	154673.0
280.0	150765.0
281.0	149202.0
282.0	146015.0
283.0	143626.0
284.0	140142.0
285.0	138055.0
286.0	134403.0
287.0	132538.0
288.0	129323.0
289.0	126797.0
290.0	125316.0
291.0	122964.0
292.0	121055.0
293.0	117669.0
294.0	114888.0
295.0	113515.0
296.0	110813.0
297.0	108995.0
298.0	105746.0
299.0	104511.0
300.0	102101.0
301.0	100418.0
302.0	98051.0
303.0	96200.0
304.0	94200.0
305.0	92584.0
306.0	90004.0
307.0	88543.0
308.0	86151.0
309.0	84808.0
310.0	82909.0
311.0	81558.0
312.0	78944.0
313.0	77942.0
314.0	76170.0
315.0	74796.0
316.0	72822.0
317.0	71198.0
