#Mapping quality	mapping quality
0.0	1.00539737E8
1.0	472288.0
2.0	350420.0
3.0	483081.0
4.0	350776.0
5.0	348137.0
6.0	420533.0
7.0	388409.0
8.0	385381.0
9.0	507156.0
10.0	413675.0
11.0	288323.0
12.0	406148.0
13.0	617685.0
14.0	279610.0
15.0	425305.0
16.0	374924.0
17.0	285255.0
18.0	405100.0
19.0	357694.0
20.0	696144.0
21.0	451900.0
22.0	508448.0
23.0	508062.0
24.0	682912.0
25.0	999125.0
26.0	325601.0
27.0	2189992.0
28.0	291637.0
29.0	275339.0
30.0	765975.0
31.0	378130.0
32.0	337659.0
33.0	495455.0
34.0	353479.0
35.0	338034.0
36.0	434357.0
37.0	373206.0
38.0	423446.0
39.0	461729.0
40.0	4686844.0
41.0	531674.0
42.0	756278.0
43.0	705201.0
44.0	681989.0
45.0	1118697.0
46.0	989431.0
47.0	1079031.0
48.0	1414908.0
49.0	1103358.0
50.0	3713672.0
51.0	1005347.0
52.0	1297933.0
53.0	1712307.0
54.0	1461595.0
55.0	2275527.0
56.0	2037762.0
57.0	2194700.0
58.0	2259130.0
59.0	9502175.0
60.0	8.2802938E8
